,user,movie,rating
229,1391,2773,3
230,1870,1212,5
231,3755,2046,4
232,4559,1563,4
233,2908,1328,3
234,1630,3019,3
235,3545,3228,4
236,1599,863,4
237,4237,2013,4
238,480,3318,5
239,12,578,3
240,998,2013,4
241,138,1594,5
242,3679,2136,5
243,4117,3599,3
244,4693,859,5
245,3424,1653,1
246,5847,575,1
247,548,1856,3
248,3463,23,3
249,4025,2494,2
250,6018,2426,4
251,5971,3429,4
252,3807,2286,3
253,4064,851,4
254,2418,1097,3
255,4008,246,4
256,713,6,4
257,4448,1200,5
258,1446,1171,5
259,2339,1173,5
260,751,2496,1
261,3553,1124,3
262,4866,1017,4
263,5614,1848,5
264,4093,339,4
265,1446,821,4
266,5405,1739,2
267,416,3508,4
268,730,2943,5
269,1586,1960,2
270,1136,3488,5
271,4447,372,4
272,3538,1028,3
273,4855,1156,5
274,4490,307,3
275,5398,2496,4
276,2463,802,4
277,1116,2480,4
278,774,3510,5
279,2735,2455,3
280,5286,2778,4
281,3895,1306,4
282,969,183,2
283,2041,1824,4
284,523,2541,5
285,1919,3273,3
286,3370,3317,4
287,3506,220,2
288,4980,810,5
289,5561,2997,3
290,1439,309,4
291,1087,3036,3
292,969,2077,2
293,1271,3209,1
294,2608,576,5
295,2991,2744,2
296,3507,1116,5
297,2163,1305,4
298,4414,822,1
299,2752,865,3
300,257,2160,4
301,2715,1770,4
302,423,2308,4
303,3625,1185,3
304,3326,1196,4
305,3409,2943,4
306,3056,1017,3
307,2554,1157,2
308,2608,2000,4
309,385,529,5
310,180,2534,4
311,1231,1139,5
312,1322,843,5
313,5805,3234,3
314,3653,2374,5
315,2951,3502,3
316,3053,31,4
317,1361,31,4
318,5567,2505,1
319,473,2136,5
320,2760,723,2
321,5874,1109,4
322,3314,1539,4
323,3435,1339,2
324,4220,1104,5
325,4590,1277,4
326,3166,3500,5
327,3030,525,4
328,1127,1282,1
329,808,2263,4
330,2144,3462,3
331,414,2545,4
332,1302,1195,5
333,136,1833,4
334,2723,2108,4
335,536,1158,5
336,172,908,4
337,140,16,3
338,1700,839,3
339,2115,2087,3
340,4381,2183,3
341,4945,908,5
342,1339,2521,4
343,3012,1826,4
344,3122,2202,5
345,5444,3457,3
346,2049,3555,4
347,2264,58,3
348,2514,2261,3
349,2742,2263,3
350,1086,2214,3
351,1050,639,5
352,2007,1775,2
353,1649,579,4
354,2438,702,4
355,2256,3320,4
356,3335,1132,4
357,4458,1087,4
358,469,1184,4
359,5110,3274,4
360,117,3398,3
361,1450,907,2
362,3735,442,3
363,5361,2020,1
364,3849,1516,3
365,5171,1516,4
366,4050,847,4
367,5425,1536,3
368,1725,1,3
369,3820,1371,2
370,1124,1356,4
371,1347,681,3
372,1881,858,5
373,4661,2557,4
374,3898,2651,4
375,215,727,4
376,669,2755,3
377,1210,521,4
378,5076,850,3
379,6006,839,2
380,1987,2757,3
381,888,2830,3
382,2040,2831,3
383,91,2490,3
384,3490,2440,3
385,2452,1300,4
386,609,1696,2
387,5034,31,3
388,4424,1777,4
389,4863,2119,4
390,2751,170,4
391,47,702,3
392,811,2956,2
393,4835,2136,5
394,1241,2143,3
395,695,1820,4
396,236,3475,3
397,1563,519,2
398,3376,2574,3
399,4808,309,4
400,4741,1319,3
401,160,1969,5
402,2517,576,5
403,1390,3129,3
404,3260,44,4
405,1149,1927,3
406,5364,610,4
407,4681,1535,4
408,4793,3133,5
409,1169,259,4
410,2130,3593,4
411,3400,2283,3
412,1679,47,1
413,3468,962,2
414,192,2853,3
415,3941,699,1
416,5954,98,4
417,1297,785,3
418,1836,2748,5
419,5255,2178,3
420,5048,1277,4
421,4567,189,4
422,3156,2455,3
423,2058,1889,3
424,3421,2888,4
425,753,2240,3
426,5873,1449,4
427,2747,3618,1
428,1674,3525,1
429,1180,1128,3
430,3181,1205,3
431,1206,1806,1
432,1104,2600,3
433,4387,2494,3
434,4185,2334,2
435,2673,2888,4
436,4522,3461,4
437,4801,2557,5
438,116,3420,3
439,1088,1157,4
440,1133,1000,5
441,3619,2931,4
442,2654,3014,1
443,879,1258,5
444,2029,2740,3
445,2633,3091,5
446,3181,493,3
447,423,2664,5
448,4470,291,4
449,4588,574,5
450,5419,2515,4
451,2029,887,4
452,175,3162,3
453,5450,1150,4
454,343,2779,3
455,1747,3017,3
456,3377,2231,2
457,668,3508,3
458,6014,1900,5
459,3756,575,4
460,5219,1198,3
461,1016,3485,3
462,650,2567,4
463,4489,3591,4
464,2230,2028,3
465,4342,2078,5
466,5885,1780,4
467,1706,2701,5
468,5120,2131,4
469,4949,2976,5
470,2418,3601,4
471,1149,817,2
472,4928,861,5
473,57,1306,5
474,5770,1704,4
475,5836,1371,3
476,3538,2439,4
477,4747,1934,3
478,3704,2785,5
479,2839,1286,2
480,4032,2897,3
481,2528,3472,5
482,730,1886,2
483,2678,35,4
484,4222,24,1
485,5871,2621,5
486,489,1921,3
487,2009,2013,4
488,4652,2507,2
489,3363,576,3
490,1323,2495,5
491,1629,3243,4
492,1420,513,4
493,1568,2110,2
494,1413,1449,3
495,5905,2097,4
496,5268,2383,2
497,3522,1260,5
498,898,1023,3
499,3107,1117,5
500,3607,329,5
501,4587,1545,3
502,1850,1367,3
503,2669,2162,4
504,1180,1250,3
505,2648,370,4
506,4592,2941,3
507,4836,303,2
508,5743,2785,4
509,4624,1774,5
510,5481,1280,4
511,1450,2941,5
512,5749,1196,4
513,6036,1050,4
514,3174,3248,4
515,3506,1032,5
516,4270,1633,4
517,3969,139,3
518,888,2525,5
519,5604,1543,4
520,5442,2170,5
521,1504,3256,2
522,2696,2999,4
523,3457,1843,3
524,2966,1840,3
525,4139,1462,3
526,1245,309,5
527,2858,1274,4
528,25,260,2
529,1500,529,3
530,3259,3233,4
531,3273,1908,2
532,1346,466,5
533,2481,1118,4
534,166,3303,4
535,5128,3294,3
536,1885,3705,4
537,4477,1642,2
538,5033,1737,3
539,734,334,3
540,2648,1929,3
541,4297,1408,4
542,4232,1059,4
543,3291,3134,5
544,3595,849,5
545,4523,1814,4
546,2682,1696,3
547,1009,1934,3
548,2839,971,4
549,964,1175,5
550,5768,2773,3
551,5067,2552,4
552,4041,106,4
553,2096,2605,5
554,3751,1198,3
555,5360,1906,4
556,4578,884,5
557,1263,1018,5
558,4276,3032,4
559,2413,2460,4
560,1379,1737,4
561,2899,38,4
562,3470,2220,3
563,1871,1831,2
564,3996,2012,5
565,201,1491,4
566,1376,2866,3
567,342,2278,4
568,4458,2865,4
569,4507,1211,4
570,1164,1190,4
571,1208,2212,2
572,2770,2136,5
573,4994,3041,5
574,2856,519,3
575,3502,5,4
576,4790,190,2
577,4868,1201,5
578,5567,38,4
579,2591,1945,2
580,1651,3510,3
581,3988,3216,5
582,3906,2672,3
583,2401,3316,3
584,5305,3028,1
585,1583,1695,5
586,2319,3114,4
587,2886,2,3
588,1066,3248,4
589,391,993,4
590,24,3475,4
591,1612,1463,4
592,5427,1462,4
593,4980,2913,3
594,5392,1770,4
595,4738,1135,3
596,4911,2969,3
597,2853,2814,5
598,4061,2415,2
599,5836,159,5
600,5570,1168,5
601,1420,3643,1
602,2576,2557,2
603,3510,2781,3
604,5603,579,5
605,5924,494,2
606,5136,1384,3
607,2893,406,3
608,1099,1915,2
609,5481,858,4
610,2720,38,4
611,1265,1060,3
612,5010,3521,4
613,3066,2143,5
614,391,3030,2
615,1266,3228,3
616,2771,2212,4
617,4117,1123,4
618,5910,1539,3
619,4539,300,5
620,4765,3014,5
621,1980,3683,3
622,2616,593,4
623,743,2335,3
624,1959,3134,5
625,5778,2055,4
626,2925,45,4
627,2929,1025,4
628,4571,1173,3
629,4903,1118,5
630,2969,346,5
631,3939,1088,4
632,1686,1009,5
633,542,2178,4
634,689,2270,4
635,5989,3318,3
636,5640,2486,2
637,3712,1024,3
638,4715,2055,4
639,3731,3315,3
640,5022,1190,5
641,4494,787,3
642,2482,849,4
643,5386,3466,3
644,2394,1574,4
645,3492,20,3
646,174,1838,3
647,4818,436,5
648,853,2143,3
649,3031,406,4
650,2592,1130,5
651,5926,31,3
652,4947,2501,2
653,3053,1127,5
654,4886,1825,3
655,3245,3155,4
656,25,2072,5
657,2202,3200,3
658,3032,319,3
659,4128,3081,5
660,694,307,4
661,1087,981,3
662,3545,2469,3
663,5847,3132,4
664,2628,2208,5
665,3421,890,4
666,5953,2415,3
667,4284,2480,5
668,3415,3266,3
669,1020,861,4
670,1446,3460,2
671,4447,3286,4
672,3150,2515,2
673,2535,1708,3
674,1136,2005,5
675,4166,1130,4
676,589,1418,4
677,5603,340,3
678,779,2692,4
679,1368,2131,5
680,5666,3186,4
681,2525,1209,4
682,1888,1350,3
683,3162,108,5
684,636,583,3
685,4220,1139,5
686,1425,1535,4
687,1015,1342,5
688,1454,1106,4
689,3933,1907,3
690,5681,995,1
691,428,2961,4
692,5537,3461,4
693,2118,2990,4
694,3080,1848,5
695,1523,2514,2
696,3933,1398,3
697,1018,1031,3
698,3366,3155,5
699,2799,1268,1
700,751,1212,4
701,5004,3395,3
702,5767,854,5
703,3025,858,2
704,2780,2957,4
705,2505,2072,4
706,5255,1420,3
707,4012,3028,4
708,5123,849,4
709,2155,1398,4
710,4387,3157,4
711,4952,1494,3
712,2639,2518,5
713,2021,3321,4
714,2564,1276,3
715,5784,1702,2
716,530,2190,2
717,64,466,5
718,5322,1100,5
719,653,1245,3
720,296,802,4
721,1711,2203,4
722,2776,563,3
723,1638,35,4
724,965,1563,4
725,3388,279,2
726,3434,838,4
727,4311,3502,3
728,1385,2162,4
729,1260,3681,4
730,1482,466,2
731,3898,2470,3
732,1961,2310,1
733,634,1202,5
734,476,2415,5
735,4343,2446,5
736,91,1016,4
737,633,2237,5
738,5467,1478,3
739,3863,849,5
740,4165,579,5
741,1567,1563,5
742,4130,2235,5
743,4554,173,1
744,4856,367,2
745,4085,2541,5
746,5107,2930,1
747,2580,2097,5
748,3726,3245,2
749,880,1741,4
750,1915,487,4
751,4026,847,5
752,2076,2079,4
753,45,1799,5
754,5846,2078,5
755,1061,444,5
756,5642,3378,4
757,5597,253,5
758,3644,2334,4
759,1974,785,1
760,244,3455,2
761,889,1897,5
762,4053,136,3
763,3153,2082,5
764,342,2332,5
765,5794,413,2
766,1883,3234,4
767,532,784,1
768,5984,2785,4
769,3820,1540,2
770,452,2191,4
771,725,786,5
772,1052,2779,4
773,2501,144,5
774,2483,3622,3
775,1398,527,3
776,1886,963,3
777,4168,2079,3
778,838,1356,4
779,4259,2511,4
780,5340,1107,3
781,2660,1059,4
782,3218,2162,4
783,1247,1931,2
784,3519,627,3
785,664,182,2
786,1441,1727,1
787,2204,1140,3
788,2039,2202,3
789,1488,2420,2
790,3265,2944,4
791,4944,1111,5
792,5366,955,3
793,17,2162,5
794,2155,3034,5
795,838,1091,5
796,1118,1116,4
797,174,992,4
798,4978,2228,1
799,3677,745,4
800,1592,3503,3
801,1284,1508,3
802,2423,1848,3
803,4750,2287,5
804,5474,1210,3
805,5235,2884,4
806,5857,1160,5
807,5635,2041,3
808,5828,2885,3
809,4834,1934,3
810,2191,1275,4
811,493,1702,4
812,3242,339,4
813,3463,2513,3
814,2723,56,5
815,4015,2736,4
816,5293,3166,3
817,1940,338,3
818,1227,3189,5
819,6019,2005,5
820,1957,1822,4
821,6039,3508,4
822,4102,467,2
823,2648,3446,2
824,2348,2208,4
825,2095,1295,3
826,1447,460,5
827,5064,1336,3
828,4577,3444,5
829,4182,1307,1
830,4027,1108,4
831,2130,1225,1
832,4386,2708,3
833,2629,2501,3
834,3897,2400,3
835,4531,1097,4
836,1816,1653,1
837,2094,2654,5
838,1471,3412,5
839,1898,870,3
840,4429,2957,2
841,4278,1435,3
842,2019,1929,2
843,456,1780,4
844,1488,997,4
845,4964,3321,4
846,1014,3100,2
847,269,862,5
848,1424,1292,4
849,5467,935,4
850,4733,2439,3
851,4936,2140,5
852,754,2762,4
853,1521,1399,3
854,3278,2739,3
855,3924,2865,4
856,1241,254,2
857,5099,950,3
858,4691,2862,3
859,3806,2263,2
860,839,1260,5
861,4567,3375,4
862,3989,2173,4
863,193,3328,4
864,2770,1150,4
865,3640,1119,3
866,3563,420,3
867,5037,1178,5
868,1130,1886,5
869,3312,1333,4
870,1243,3456,3
871,2322,3339,5
872,5152,1025,5
873,3867,45,3
874,4047,1897,5
875,2730,1008,4
876,3588,2721,1
877,1130,1781,5
878,4865,3218,3
879,5825,3248,5
880,2550,1919,4
881,5095,2600,2
882,2768,972,3
883,2301,2308,2
884,779,1154,5
885,91,3279,1
886,928,1743,3
887,2505,1788,2
888,4031,2779,5
889,2181,3510,4
890,4446,1243,2
891,5960,2389,4
892,2875,253,5
893,565,1202,3
894,5676,2277,3
895,3441,1116,4
896,164,1120,5
897,3539,157,4
898,1385,3465,5
899,638,702,4
900,532,2495,5
901,3242,3444,4
902,2246,1174,4
903,3200,1986,4
904,2763,858,5
905,4560,486,3
906,5805,1537,5
907,1356,1939,2
908,5097,1289,2
909,504,1737,4
910,1649,3341,4
911,2142,2672,4
912,1968,1275,4
913,5535,1605,2
914,5899,141,3
915,5947,228,3
916,5953,1777,4
917,3031,396,4
918,119,1765,3
919,5393,3203,5
920,3518,1210,3
921,3667,1139,5
922,1447,2067,4
923,3453,329,5
924,4087,2557,3
925,4509,3008,3
926,1774,541,5
927,3095,253,5
928,2177,1150,4
929,4421,136,4
930,1669,56,5
931,1321,527,5
932,2296,1050,5
933,224,2428,4
934,3016,3579,4
935,6006,1108,4
936,2620,1460,3
937,983,2940,1
938,5625,576,4
939,5366,367,2
940,5255,3374,4
941,4818,2483,5
942,4175,1110,5
943,1830,2775,4
944,5446,1782,4
945,3517,2911,4
946,6004,1823,3
947,4949,10,4
948,3649,841,5
949,4351,711,4
950,178,1785,3
951,4509,754,4
952,4495,1059,3
953,888,1178,4
954,5511,581,4
955,4407,2120,5
956,3689,1738,2
957,5599,1734,4
958,2180,3503,2
959,1024,373,4
960,5926,1511,3
961,6023,2779,4
962,3192,2765,4
963,918,1844,3
964,3055,308,4
965,4410,1897,5
966,5692,118,5
967,3081,1535,3
968,4337,2110,2
969,4213,2968,4
970,3795,2121,4
971,6035,332,3
972,619,2383,4
973,1844,501,3
974,5762,1144,5
975,4578,3149,4
976,2780,3664,4
977,1896,845,4
978,1792,1135,4
979,1034,2889,5
980,3364,3455,5
981,5219,3157,2
982,713,3510,5
983,3479,240,2
984,411,737,5
985,3518,2792,1
986,4021,2710,4
987,5421,1084,5
988,5152,309,5
989,3470,2699,2
990,5317,1059,5
991,5751,1158,3
992,3799,2438,3
993,2488,340,3
994,4759,2676,4
995,3714,1551,4
996,730,1979,3
997,4049,3493,4
998,4959,579,4
999,1545,3037,5
1000,189,1167,4
1001,3649,579,5
1002,3343,1732,4
1003,3312,1151,3
1004,1555,2592,3
1005,3214,3548,4
1006,1379,2200,3
1007,1598,3460,3
1008,5847,1137,4
1009,4114,2667,4
1010,2561,2599,5
1011,3623,310,3
1012,1050,2511,5
1013,550,2823,4
1014,4069,1732,4
1015,548,2707,4
1016,930,793,4
1017,3390,1453,5
1018,2749,3166,5
1019,1272,1788,3
1020,34,1094,2
1021,1585,639,4
1022,116,2414,4
1023,409,1743,4
1024,2962,1025,4
1025,527,1661,3
1026,4363,1744,2
1027,2409,1154,3
1028,3062,309,5
1029,748,3542,4
1030,1911,865,4
1031,4577,2082,4
1032,5529,3114,2
1033,1067,1942,4
1034,2243,1339,1
1035,2775,2194,2
1036,395,2482,5
1037,4311,1124,5
1038,3680,2194,4
1039,1898,398,4
1040,3162,1581,4
1041,1751,573,5
1042,547,1926,2
1043,3825,1131,3
1044,2377,2469,3
1045,4704,2542,3
1046,2145,1107,2
1047,376,581,4
1048,262,2012,4
1049,1127,2285,1
1050,2920,1853,3
1051,44,329,4
1052,1616,3238,2
1053,5231,1838,3
1054,197,2160,5
1055,4956,1106,5
1056,2474,2580,3
1057,2330,35,4
1058,4868,1203,3
1059,4807,3463,3
1060,4411,1988,2
1061,302,1023,4
1062,473,1574,3
1063,5427,45,4
1064,2928,2583,4
1065,1095,1492,5
1066,3772,500,2
1067,1297,683,4
1068,5590,3302,3
1069,3725,3429,4
1070,4681,527,5
1071,4807,2123,3
1072,779,2760,4
1073,4021,2439,2
1074,1811,2807,5
1075,3056,426,3
1076,1679,1629,2
1077,4698,350,3
1078,4471,3132,3
1079,4914,1120,4
1080,634,593,5
1081,4960,2707,3
1082,2053,2599,4
1083,4353,1158,5
1084,3905,1820,4
1085,1192,367,3
1086,5140,369,4
1087,677,2657,4
1088,1018,3568,4
1089,5575,579,3
1090,5787,1272,4
1091,438,1142,3
1092,5493,3186,4
1093,3823,1938,1
1094,2784,2265,2
1095,2184,2707,5
1096,5995,1826,4
1097,4561,2488,3
1098,4806,1131,5
1099,2861,3134,5
1100,3307,361,3
1101,463,1157,4
1102,587,1508,3
1103,1087,3443,4
1104,349,2426,3
1105,3725,1787,5
1106,1016,2184,3
1107,3980,1259,4
1108,3006,3218,2
1109,228,1292,1
1110,827,1108,3
1111,1682,573,5
1112,3791,3395,3
1113,5458,3029,4
1114,3779,249,4
1115,3003,1035,5
1116,4951,16,5
1117,612,3461,2
1118,1675,406,3
1119,5290,513,5
1120,5269,2514,1
1121,1240,2795,4
1122,367,259,5
1123,3100,3220,4
1124,5004,10,4
1125,5318,1148,4
1126,2403,2285,4
1127,1596,2744,3
1128,1777,955,4
1129,3846,787,2
1130,4903,2020,5
1131,523,784,1
1132,5224,3419,4
1133,530,2071,3
1134,3520,2742,2
1135,3609,2469,4
1136,3200,1268,5
1137,3576,1708,5
1138,1152,2959,4
1139,4189,2773,1
1140,2104,1116,4
1141,5541,2719,4
1142,4509,1190,3
1143,5425,2210,5
1144,2422,2176,4
1145,3511,3045,3
1146,675,2773,3
1147,3314,3341,5
1148,2058,862,5
1149,1471,537,4
1150,1853,3014,1
1151,3657,867,4
1152,5830,1902,4
1153,2545,1104,4
1154,2654,2143,4
1155,3926,2102,4
1156,3823,3127,4
1157,5850,2879,5
1158,5500,1252,3
1159,4577,938,2
1160,47,1148,4
1161,1662,2307,5
1162,1403,2026,4
1163,3878,2541,2
1164,3587,1192,4
1165,4078,1873,3
1166,4417,1122,4
1167,1201,2861,4
1168,5566,2178,3
1169,4728,1944,3
1170,215,1835,5
1171,2026,1179,5
1172,4151,1278,3
1173,5014,574,5
1174,4584,2162,4
1175,4790,46,3
1176,3064,3550,3
1177,266,38,4
1178,5043,1969,5
1179,3674,332,4
1180,3828,1417,3
1181,1011,2883,2
1182,3271,2216,3
1183,4608,55,3
1184,1774,3133,4
1185,3801,3375,3
1186,311,2712,4
1187,1242,2214,4
1188,4168,2332,4
1189,2177,649,5
1190,198,1094,3
1191,5117,2078,3
1192,5427,348,5
1193,2856,3191,3
1194,239,3569,3
1195,5471,1839,5
1196,2022,601,1
1197,4801,2574,5
1198,5583,1236,3
1199,4168,1360,3
1200,5099,1936,4
1201,3506,8,1
1202,1272,1463,4
1203,6014,1727,4
1204,3759,2683,4
1205,1447,2801,3
1206,2558,1508,2
1207,2105,978,3
1208,4458,1361,2
1209,2908,444,4
1210,2104,2507,4
1211,4828,228,3
1212,5421,572,4
1213,1353,513,4
1214,3649,1485,5
1215,4069,1614,2
1216,5924,1106,4
1217,3806,3040,1
1218,5626,335,3
1219,3198,2082,4
1220,4317,3317,5
1221,903,3455,3
1222,3826,318,3
1223,3945,1575,3
1224,6035,580,5
1225,5971,1297,4
1226,888,2136,2
1227,325,1817,3
1228,1425,209,4
1229,2224,3294,4
1230,5110,894,4
1231,4660,2665,4
1232,3040,2865,3
1233,3352,457,3
1234,3076,2775,4
1235,5887,1196,5
1236,4950,3238,4
1237,3832,527,5
1238,410,1143,5
1239,4403,2303,1
1240,2087,822,3
1241,301,2775,5
1242,2811,2495,4
1243,3031,826,5
1244,1018,2181,3
1245,5130,2495,1
1246,5951,2714,4
1247,1293,2785,5
1248,1967,279,1
1249,3840,891,3
1250,1094,35,3
1251,4577,2885,5
1252,1087,2420,3
1253,1756,764,1
1254,4025,503,4
1255,1625,810,5
1256,5877,2260,4
1257,2886,1019,4
1258,2121,593,3
1259,5,2755,5
1260,3883,1943,3
1261,948,2501,3
1262,128,1124,5
1263,720,2886,4
1264,5189,2898,5
1265,2527,3353,1
1266,801,1656,5
1267,2192,426,3
1268,180,3468,3
1269,569,259,4
1270,1845,239,2
1271,5171,3384,3
1272,5235,2897,2
1273,2455,202,3
1274,739,3685,5
1275,5632,1108,4
1276,5946,3368,4
1277,645,1123,4
1278,4483,3283,5
1279,3629,1025,3
1280,1421,249,3
1281,2337,3488,5
1282,3215,2140,4
1283,4567,867,5
1284,918,1019,3
1285,698,2956,2
1286,5155,527,5
1287,1979,2216,2
1288,532,3599,3
1289,3081,1098,3
1290,4698,2086,4
1291,4194,2426,3
1292,1282,741,1
1293,5758,3296,4
1294,1865,2120,3
1295,3888,1814,4
1296,2123,2414,1
1297,4276,2691,3
1298,3300,2203,2
1299,5348,1574,4
1300,2752,1108,5
1301,2621,2099,5
1302,1198,1563,4
1303,5847,1306,4
1304,3852,3394,4
1305,5010,1574,3
1306,5743,3075,3
1307,2543,888,4
1308,1394,2587,4
1309,4770,1775,4
1310,4226,1763,2
1311,481,1618,4
1312,445,2984,5
1313,604,1833,4
1314,5727,1614,3
1315,1464,3599,4
1316,4004,1215,5
1317,604,3233,5
1318,1826,970,3
1319,3146,1449,4
1320,5165,145,4
1321,3725,3508,5
1322,1040,2378,4
1323,3689,550,3
1324,5825,1453,4
1325,5653,3090,4
1326,5635,1702,2
1327,1940,1599,3
1328,4185,2426,3
1329,2062,226,2
1330,4445,2275,3
1331,1014,1408,3
1332,140,627,3
1333,3427,859,5
1334,1881,1258,4
1335,4727,1108,4
1336,5836,3044,3
1337,5289,3192,5
1338,1203,2898,4
1339,1119,1131,5
1340,4272,3134,4
1341,110,1271,3
1342,4476,3596,4
1343,2900,3132,4
1344,4341,1853,4
1345,5666,2708,4
1346,3341,2633,4
1347,5267,1508,4
1348,5675,3031,4
1349,4887,1118,5
1350,2303,2186,4
1351,1379,2683,2
1352,2062,2181,4
1353,5171,501,4
1354,4008,2237,5
1355,5999,2556,3
1356,5525,1458,3
1357,1100,1696,2
1358,4703,1439,2
1359,1878,573,4
1360,5977,1132,3
1361,2164,519,3
1362,3770,54,1
1363,5663,2775,4
1364,5479,269,3
1365,5721,106,2
1366,98,3091,4
1367,3806,1696,4
1368,4125,68,5
1369,2483,2547,3
1370,211,2159,4
1371,1805,216,3
1372,4226,1241,3
1373,2707,1731,2
1374,3208,1822,4
1375,1574,1113,5
1376,5560,857,3
1377,147,2228,3
1378,89,3186,4
1379,4276,1141,4
1380,4952,2078,4
1381,3147,335,4
1382,1068,962,3
1383,5824,3101,4
1384,1483,1931,4
1385,4219,1788,3
1386,4620,3460,3
1387,3470,45,3
1388,2163,2072,4
1389,2589,3671,3
1390,691,1593,4
1391,880,1280,3
1392,2637,1556,3
1393,4842,862,5
1394,1793,2501,2
1395,549,1852,1
1396,5663,2651,5
1397,4021,347,3
1398,3653,1109,3
1399,5110,2552,4
1400,3208,2897,1
1401,4994,1021,2
1402,3284,1398,5
1403,2204,912,3
1404,4187,2621,5
1405,4113,3418,3
1406,4378,2192,2
1407,2540,1482,4
1408,5832,33,4
1409,4634,2511,4
1410,4442,1099,3
1411,5674,886,5
1412,5366,1109,4
1413,5429,2972,5
1414,4818,3457,4
